3	Product Version: PC60
3	Executable File Version: 2.8.3,33 
3	Program Build Date: Oct 26 2005,  22:48:37
3	Customer Serial Number: 200-617-1-1
3	Customer Name: Dr. Kamil Uludag
3	Customer Organization: Max Planck Institute, Cybernetics
3	--------------------------------------------------------
3	TimeValues	2010	11	12	14	2	17	UTC
3	TimeStamp	Friday, November 12, 2010, 3:02:17 PM 
3	DataFormat	2.7.0.95
3	Storing UN-SMOOTHED data.
3	ScreenSize	800	600
3	ViewingDistance	500
3	ImageShape	Fit
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ARI	APW	APA	AQU	AFX	CNT	MRK	STR
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	Region	PupilWidth	PupilAspect	Quality	Fixation	Count	Marker	String
7	 0.000000	FrameRate	29.97
16	 0.000000	STARTUP.BMP
10	  0.0000	   0.0000	0.5119	-0.4863	-1	0.1000	0.9688	1	0.0000	0	=,+,=,+	END	END
10	  0.0341	  34.0659	0.5071	-0.4903	-1	0.1016	0.9846	1	0.0333	1		CONDITION#1
10	  0.0666	  32.5412	-0.2633	0.1021	-1	0.0016	1.0000	1	0.0000	2		
10	  0.0999	  33.3056	1.2878	0.1752	-1	0.0531	0.7234	1	0.0000	3		
10	  0.1332	  33.3007	0.1026	-0.4024	-1	0.0328	0.6563	1	0.0000	4		
10	  0.1665	  33.3041	1.1771	0.0742	-1	0.0656	0.8571	1	0.0000	5		
10	  0.1998	  33.3029	1.1961	0.1846	-1	0.0672	0.9767	1	0.0000	6		
10	  0.2331	  33.3026	0.2838	-0.5142	-1	0.0281	0.7826	1	0.0000	7		
10	  0.2664	  33.3030	0.5068	-0.4906	-1	0.0594	1.0000	1	0.0000	8		
10	  0.2997	  33.3038	0.4739	-0.5138	-1	0.0969	0.6452	1	0.0000	9		
10	  0.3330	  33.3030	0.4805	-0.5120	-1	0.0969	0.9839	1	0.0000	10		
10	  0.3671	  34.0507	0.4745	-0.5163	-1	0.1000	0.9846	1	0.0337	11		
10	  0.3996	  32.5546	0.4787	-0.5136	-1	0.0984	0.9844	1	0.0664	12		
10	  0.4329	  33.3059	0.4758	-0.5159	-1	0.1016	1.0000	1	0.0995	13		
10	  0.4662	  33.3011	0.4740	-0.5174	-1	0.1000	0.9697	1	0.1328	14		
10	  0.4995	  33.3042	0.4579	-0.5301	-1	0.1063	0.9853	1	0.1664	15		
10	  0.5329	  33.3026	0.4769	-0.5151	-1	0.1031	0.9851	1	0.1998	16		
10	  0.5662	  33.3033	0.4608	-0.5277	-1	0.1031	0.9706	1	0.2340	17		
10	  0.5995	  33.3039	0.4589	-0.5289	-1	0.1016	0.9701	1	0.2673	18		
